昵称,星数,点赞数,评价,评价时间,
文泽尔,allstar40 rating,15,故事的架构本身实际上仍旧是在类型片的领域内厮混 如此多的大制作动作部分也决定片子本身是走票房路线 不过谁规定走这一路线就不能有深意呢 即使亡妻情 梦中梦的设定都不算新鲜 但诺兰对节奏和视觉效果的把握却值得称道 宏大场景和开放结局 以及令人印象深刻的大量走道场景 可说是类型片巅峰作,2011/1/17 11:56,
死鬼,allstar50 rating,25,"一颗小小的意念种子 也会生根成形 它可能成就你 也可能毁灭你
那么 你是想放手一搏 还是要等到年华老去 心中充满遗憾 孤独地迈向黄泉路？",2018/3/16 23:38,
XiMu,allstar40 rating,18,但无论是好梦也好恶梦也罢，当咱们醒来时城市很难想举事情颠末，只留下一脸茫然的咱们。,2018/3/15 22:34,
大奇特(Grinch),allstar30 rating,19,创意很棒，就知道这是个大套套小套的故事，和诺兰早期那个短片《Doodlebug》一样。抛开创意，其实本质很简单，就是《Doodlebug》的2010升级版，加入了《骗中骗》《穆赫兰道》《禁闭岛》等修改补丁。不过如果是“老婆回到真实世界，小李自始至终还在梦中？”的话我就喜欢这片子了,2010/9/1 23:47,
西楼尘,allstar50 rating,22,烧脑的诺兰，一贯的大师。三生有幸生活在诺兰的时代，并有幸在电影院一睹风采。配乐大师也是功劳显著，诺兰惯常的闪剪直接让观者感受到高潮一般的快感，内心激荡而震撼，绝望而嘶吼。,2013/8/21 22:27,
贺朝,allstar40 rating,13,重看一遍还是觉得很精彩，逆天的世界观，脑洞真大，我爱小李子的颜，即使这里已经胖了,2017/2/4 17:51,
乌鸦火堂,allstar50 rating,18,精彩，诺兰引领一个时代，给我一个不打五星的理由,2010/9/1 23:03,
我lu不会飞,allstar50 rating,18,一环接一环，很烧脑，有意思。,2017/2/16 20:47,
炫3D,allstar40 rating,17,卡梅隆突破了，有了创新，名导就是名导，制作精良。,2017/4/14 16:43,
Virgohi21,allstar40 rating,20,这故事对我有致命吸引力。好看死了。虽然觉得有点急躁可以做得更好，并且本应可以再往人物和故事的深度发掘。,2010/7/22 3:25,
水至清则无鱼,allstar50 rating,10,牛！不停换景那里晕眩啊，陀螺转转转～,2017/5/3 13:42,
神奇海螺,allstar40 rating,13,好看，但也没有吹的那么神吧，烧脑啦看不懂什么的，不存在的,2017/5/1 20:28,
林妖,allstar50 rating,12,梦境和现实交织，很酷的一部电影。小李子很帅，特效画面很抓人眼球。,2017/4/16 20:00,
大志的小耳朵,allstar40 rating,13,太烧脑了，没完全看懂，这类电影可以看好几遍因为一遍不能看懂。。。。。。。。。。。。。,2016/12/29 20:28,
闫妮,allstar40 rating,11,诺兰就是想象力的代名词吧。后知后觉发现里面有马良,2015/2/1 14:22,
papi,allstar50 rating,22,穿越吧年轻人,2010/9/30 22:17,
顾俏乜,allstar40 rating,12,构思很赞，脑洞这么大，黑洞都要抖一抖。,2017/7/14 21:26,
白玉堂,allstar50 rating,14,看过以后曾经有一段时间经常怀疑自己在做梦,2016/9/4 15:16,
法兰西胶片,allstar50 rating,21,6遍，一遍普通原版，两遍国语配音，三遍IMAX原版。等辞职了，写一篇《奠基2之最后的六天》。,2010/9/2 0:16,
恶魔的步调,allstar50 rating,14,山中千年，世间一日。一个意识结构层面的故事。100921 2nd。,2010/9/4 23:26,
X,allstar50 rating,12,一花一世界，一个陀螺引发的颠覆世界观,2017/3/31 16:34,
Paco,allstar50 rating,15,启蒙我的电影重作之一。意义非凡，对我的影响远非本身质量可以抗衡。,2014/4/20 13:51,
君流儿,allstar50 rating,15,特效剧情都非常炫酷，并引人思考，梦中梦简直了。作为莱昂纳多的脑残粉，看完觉得是种享受！,2018/6/8 17:10,
潇湘烟雨,allstar50 rating,21,没什么看不懂的,2017/12/24 16:38,
