Koretic,4 星,对于黄政民来说演出这样的角色实在不费吹灰，当然也依然好看。李政宰在这部里的表现其实比观相更出色，当然或许不是那种比较容易评判出的出色。工整且冷静的改编作品。无间道的几个改编都算做出了自己的特色。
ccjd,5 星,韩版无间道，而且反向立意，很好看。兄弟请有感动到我。
萬和生,5 星,说实话，比「无间道」好看。
冯小强,5 星,终于看了传说中韩版的《无间道》+《黑社会》，看到丁青死的那一段，我就想到了这个结局！韩国人已经完全逆天了！看看我朝的电影，只能说一个字：服！丁青应该是死而无憾的，他让自己的兄弟变成了自己！
娅,4 星,基友就是应该相爱想杀滴
Hope·太多,4 星,黑帮片，美意港韩，各有特色。
hitlike,3 星,争首与卧底的戏在港片已经看到吐，该片自然少了很多牵引力
大米虫子,4 星,不想当裁缝的司机不是个好厨子，不想当大哥的小弟不是个好警察！！！
一條魚佔滿了河,4 星,有點像《無間道》和《黑社會》相加，警匪博弈、臥底疑雲、權力鬥爭，但又不盡相同，敘事方式、人物刻畫等部份其實頗有文藝片的味道，但是在劇情、節奏上又很商業化，兩相融合的恰到好處，令影片內在深度與外在可看性俱佳。人物的性格和心理層次，配合演員的精彩演出，太討人喜歡了！
Margo,4 星,真是...一对好兄弟...
乐义,4 星,无间道+黑社会的大集结！爽！
熊猫,4 星,韩版无间道？情节紧凑，时长2小时15分也没有拖沓感，结局虽然猜到了，但还是被震了一下，最近韩影越来越爆发了…… 国产片你到底要闹哪样啊……
半面阿何,3 星,我感觉没多少亮点
寂寞的眼,4 星,应该叫《黑暗新世界》，中国黑客威武了，能进去韩国绝密系统。还能进FBI的，怪不得米国都怕了。延边杀手真的是个讽刺，黑色幽默！不错！韩国黑帮片看发！
水水,4 星,各种黑中国啊
潘驴邓小仁波切,5 星,好看，真特么好看。
黄海,5 星,剧力就是在人从一端变成另一端中实现的。并且要使人物多面化，才能使发展合理化。
我还是我,5 星,8633  血腥刺激适者生存     “要想活下去，心要狠一点” --2013.07.14
月下海棠,5 星,牛逼 跟无间道各有千秋
Lara,5 星,虽然老套，但我还是爱死这种苦逼青年变成逆袭大魔王的剧了。
垣原阵,4 星,最后的决定啊，够狠才能活下去
